PlantNo,Width,Age,Temperature,Rain expected in 2 weeks,SoilType,WhiteRoots,PestAttacks,FloweringSeason,Result
No134,22,8,31,No,Red-Yellow,No,No,Yes,Ready for inoculation
No135,21,6,29,No,Red-Yellow,No,No,Yes,Ready for inoculation
No136,21,7,28,No,Red-Yellow,No,No,Yes,Ready for inoculation
No137,21,6,28,No,Red-Yellow,No,No,Yes,Ready for inoculation
No138,24,7,29,No,Red-Yellow,No,No,Yes,Ready for inoculation
No139,19,6,31,No,Red-Yellow,No,No,Yes,Ready for inoculation
No140,20,6,28,No,Red-Yellow,No,No,Yes,Ready for inoculation
No141,20,6,31,No,Red-Yellow,No,No,Yes,Ready for inoculation
No142,18,5,29,No,Red-Yellow,No,No,Yes,Ready for inoculation
No143,24,7,30,No,Red-Yellow,No,No,Yes,Ready for inoculation
No144,24,5,30,No,Red-Yellow,No,No,Yes,Ready for inoculation
No145,24,7,29,No,Red-Yellow,No,No,Yes,Ready for inoculation
No146,23,5,31,No,Red-Yellow,No,No,Yes,Ready for inoculation
No147,18,7,31,No,Red-Yellow,No,No,Yes,Ready for inoculation
No148,25,8,30,No,Red-Yellow,No,No,Yes,Ready for inoculation
No149,22,7,30,No,Red-Yellow,No,No,Yes,Ready for inoculation
No150,23,5,31,No,Red-Yellow,No,No,Yes,Ready for inoculation
No151,18,8,29,No,Red-Yellow,No,No,Yes,Ready for inoculation
No152,21,6,30,No,Red-Yellow,No,No,Yes,Ready for inoculation
No153,24,5,28,No,Red-Yellow,No,No,Yes,Ready for inoculation
No154,22,6,28,No,Red-Yellow,No,No,Yes,Ready for inoculation
No155,24,7,29,No,Red-Yellow,No,No,Yes,Ready for inoculation
No156,24,6,29,No,Red-Yellow,No,No,Yes,Ready for inoculation
No157,24,8,31,No,Red-Yellow,No,No,Yes,Ready for inoculation
No158,22,8,28,No,Red-Yellow,No,No,Yes,Ready for inoculation
No159,18,8,30,No,Red-Yellow,No,No,Yes,Ready for inoculation
No160,21,7,30,No,Red-Yellow,No,No,Yes,Ready for inoculation
No161,24,5,31,No,Red-Yellow,No,No,Yes,Ready for inoculation
No162,24,8,28,No,Red-Yellow,No,No,Yes,Ready for inoculation
No163,21,7,31,No,Red-Yellow,No,No,Yes,Ready for inoculation
No164,21,8,29,No,Red-Yellow,No,No,Yes,Ready for inoculation
No165,25,6,29,No,Red-Yellow,No,No,Yes,Ready for inoculation
No166,25,7,29,No,Red-Yellow,No,No,Yes,Ready for inoculation
No167,20,8,29,No,Red-Yellow,No,No,Yes,Ready for inoculation
No168,24,7,28,No,Red-Yellow,No,No,Yes,Ready for inoculation
No169,24,5,29,No,Red-Yellow,No,No,Yes,Ready for inoculation
No170,21,5,31,No,Red-Yellow,No,No,Yes,Ready for inoculation
No171,22,8,31,No,Red-Yellow,No,No,Yes,Ready for inoculation
No172,20,6,30,No,Red-Yellow,No,No,Yes,Ready for inoculation
No173,21,8,29,No,Red-Yellow,No,No,Yes,Ready for inoculation
No174,23,8,28,No,Red-Yellow,No,No,Yes,Ready for inoculation
No175,23,5,31,No,Red-Yellow,No,No,Yes,Ready for inoculation
No176,21,5,29,No,Red-Yellow,No,No,Yes,Ready for inoculation
No177,25,7,29,No,Red-Yellow,No,No,Yes,Ready for inoculation
No178,18,7,28,No,Red-Yellow,No,No,Yes,Ready for inoculation
No179,21,6,30,No,Red-Yellow,No,No,Yes,Ready for inoculation
No180,19,7,28,No,Red-Yellow,No,No,Yes,Ready for inoculation
No181,25,8,29,No,Red-Yellow,No,No,Yes,Ready for inoculation
No182,19,8,28,No,Red-Yellow,No,No,Yes,Ready for inoculation
No183,20,5,31,No,Red-Yellow,No,No,Yes,Ready for inoculation
No184,24,6,28,No,Red-Yellow,No,No,Yes,Ready for inoculation
No185,21,6,31,No,Red-Yellow,No,No,Yes,Ready for inoculation
No186,23,7,31,No,Red-Yellow,No,No,Yes,Ready for inoculation
No187,18,6,31,No,Red-Yellow,No,No,Yes,Ready for inoculation
No188,22,7,29,No,Red-Yellow,No,No,Yes,Ready for inoculation
No189,22,7,31,No,Red-Yellow,No,No,Yes,Ready for inoculation
No190,19,6,31,No,Red-Yellow,No,No,Yes,Ready for inoculation
No191,24,8,31,No,Red-Yellow,No,No,Yes,Ready for inoculation
No192,20,8,31,No,Red-Yellow,No,No,Yes,Ready for inoculation
No193,24,7,29,No,Red-Yellow,No,No,Yes,Ready for inoculation
No194,19,5,29,No,Red-Yellow,No,No,Yes,Ready for inoculation
No195,25,8,28,No,Red-Yellow,No,No,Yes,Ready for inoculation
No196,23,6,31,No,Red-Yellow,No,No,Yes,Ready for inoculation
No197,23,6,31,No,Red-Yellow,No,No,Yes,Ready for inoculation
No198,21,7,30,No,Red-Yellow,No,No,Yes,Ready for inoculation
No199,22,7,30,No,Red-Yellow,No,No,Yes,Ready for inoculation
No200,25,7,28,No,Red-Yellow,No,No,Yes,Ready for inoculation
No201,25,6,28,No,Red-Yellow,No,No,No,Ready for inoculation
No202,19,8,28,No,Red-Yellow,No,No,No,Ready for inoculation
No203,18,8,30,No,Red-Yellow,No,No,No,Ready for inoculation
No204,18,8,28,No,Red-Yellow,No,No,No,Ready for inoculation
No205,25,7,29,No,Red-Yellow,No,No,No,Ready for inoculation
No206,25,6,29,No,Red-Yellow,No,No,No,Ready for inoculation
No207,18,8,31,No,Red-Yellow,No,No,No,Ready for inoculation
No208,19,5,29,No,Red-Yellow,No,No,No,Ready for inoculation
No209,22,6,30,No,Red-Yellow,No,No,No,Ready for inoculation
No210,23,7,28,No,Red-Yellow,No,No,No,Ready for inoculation
No211,19,7,29,No,Red-Yellow,No,No,No,Ready for inoculation
No212,21,8,30,No,Red-Yellow,No,No,No,Ready for inoculation
No213,21,5,31,No,Red-Yellow,No,No,No,Ready for inoculation
No214,18,6,29,No,Red-Yellow,No,No,No,Ready for inoculation
No215,18,7,31,No,Red-Yellow,No,No,No,Ready for inoculation
No216,19,7,29,No,Red-Yellow,No,No,No,Ready for inoculation
No217,23,6,28,No,Red-Yellow,No,No,No,Ready for inoculation
No218,24,5,28,No,Red-Yellow,No,No,No,Ready for inoculation
No219,25,6,29,No,Red-Yellow,No,No,No,Ready for inoculation
No220,24,8,29,No,Red-Yellow,No,No,No,Ready for inoculation
No221,20,7,30,No,Reddish-Brown,No,No,No,Ready for inoculation
No222,20,8,30,No,Reddish-Brown,No,No,No,Ready for inoculation
No223,19,8,29,No,Reddish-Brown,No,No,No,Ready for inoculation
No224,25,8,29,No,Reddish-Brown,No,No,No,Ready for inoculation
No225,19,7,31,No,Reddish-Brown,No,No,No,Ready for inoculation
No226,23,8,30,No,Reddish-Brown,No,No,No,Ready for inoculation
No227,21,5,31,No,Reddish-Brown,No,No,No,Ready for inoculation
No228,24,6,30,No,Reddish-Brown,No,No,No,Ready for inoculation
No229,23,7,28,No,Reddish-Brown,No,No,No,Ready for inoculation
No230,21,8,29,No,Reddish-Brown,No,No,No,Ready for inoculation
No231,21,7,31,No,Reddish-Brown,No,No,No,Ready for inoculation
No232,21,8,28,No,Reddish-Brown,No,No,No,Ready for inoculation
No233,24,7,31,No,Reddish-Brown,No,No,No,Ready for inoculation
No234,20,8,30,No,Reddish-Brown,No,No,No,Ready for inoculation
No235,25,5,28,No,Reddish-Brown,No,No,No,Ready for inoculation
No236,23,8,30,No,Reddish-Brown,No,No,No,Ready for inoculation
No237,24,8,31,No,Reddish-Brown,No,No,No,Ready for inoculation
No238,22,6,30,No,Reddish-Brown,No,No,No,Ready for inoculation
No239,21,7,30,No,Reddish-Brown,No,No,No,Ready for inoculation
No240,21,7,31,No,Reddish-Brown,No,No,No,Ready for inoculation
No241,23,7,31,No,Reddish-Brown,No,No,No,Ready for inoculation
No242,19,8,29,No,Reddish-Brown,No,No,No,Ready for inoculation
No243,18,6,31,No,Red-Yellow,No,No,No,Ready for inoculation
No244,23,7,31,No,Red-Yellow,No,No,No,Ready for inoculation
No245,23,6,31,No,Red-Yellow,No,No,No,Ready for inoculation
No246,22,5,29,No,Red-Yellow,No,No,No,Ready for inoculation
No247,18,8,29,No,Red-Yellow,No,No,No,Ready for inoculation
No248,25,8,28,No,Red-Yellow,No,No,No,Ready for inoculation
No249,25,5,28,No,Red-Yellow,No,No,No,Ready for inoculation
No250,22,5,30,No,Red-Yellow,No,No,No,Ready for inoculation
No251,23,6,30,No,Red-Yellow,No,No,No,Ready for inoculation
No252,23,5,29,No,Red-Yellow,No,No,No,Ready for inoculation
No253,21,6,31,No,Red-Yellow,No,No,No,Ready for inoculation
No254,22,5,31,No,Red-Yellow,No,No,No,Ready for inoculation
No255,20,6,29,No,Red-Yellow,No,No,No,Ready for inoculation
No256,18,6,28,No,Red-Yellow,No,No,No,Ready for inoculation
No257,18,7,28,No,Red-Yellow,No,No,No,Ready for inoculation
No258,21,5,31,No,Red-Yellow,No,No,No,Ready for inoculation
No259,18,5,31,No,Red-Yellow,No,No,No,Ready for inoculation
No260,22,7,29,No,Red-Yellow,No,No,No,Ready for inoculation
No261,24,5,31,No,Red-Yellow,No,No,No,Ready for inoculation
No262,19,6,30,No,Red-Yellow,No,No,No,Ready for inoculation
No263,24,8,28,No,Red-Yellow,No,No,No,Ready for inoculation
No264,25,7,31,No,Red-Yellow,No,No,No,Ready for inoculation
No265,20,7,31,No,Red-Yellow,No,No,No,Ready for inoculation
No266,18,7,28,No,Red-Yellow,No,No,No,Ready for inoculation
No267,19,5,31,No,Red-Yellow,No,No,No,Ready for inoculation
No268,25,6,29,No,Red-Yellow,No,No,No,Ready for inoculation
No269,24,6,28,No,Red-Yellow,No,No,No,Ready for inoculation
No270,20,7,28,No,Red-Yellow,No,No,No,Ready for inoculation
No271,22,8,30,No,Red-Yellow,No,No,No,Ready for inoculation
No272,25,6,31,No,Red-Yellow,No,No,No,Ready for inoculation
No273,21,7,30,No,Red-Yellow,No,No,No,Ready for inoculation
No274,20,5,31,No,Red-Yellow,No,No,No,Ready for inoculation
No275,25,5,28,No,Red-Yellow,No,No,No,Ready for inoculation
No276,23,8,30,No,Red-Yellow,No,No,No,Ready for inoculation
No277,23,5,29,No,Red-Yellow,No,No,No,Ready for inoculation
No278,23,6,31,No,Red-Yellow,No,No,No,Ready for inoculation
No279,22,7,29,No,Red-Yellow,No,No,No,Ready for inoculation
No280,20,8,28,No,Red-Yellow,No,No,No,Ready for inoculation
No281,19,6,31,No,Red-Yellow,No,No,No,Ready for inoculation
No282,24,6,29,No,Red-Yellow,No,No,No,Ready for inoculation
No283,22,5,28,No,Red-Yellow,No,No,No,Ready for inoculation
No284,19,6,30,No,Red-Yellow,No,No,No,Ready for inoculation
No285,22,8,28,No,Red-Yellow,No,No,No,Ready for inoculation
No286,23,8,31,No,Red-Yellow,No,No,No,Ready for inoculation
No287,20,6,29,No,Red-Yellow,No,No,No,Ready for inoculation
No288,24,8,30,No,Red-Yellow,No,No,No,Ready for inoculation
No289,25,5,29,No,Red-Yellow,No,No,No,Ready for inoculation
No290,25,5,28,No,Red-Yellow,No,No,No,Ready for inoculation
No291,19,5,31,No,Red-Yellow,No,No,No,Ready for inoculation
No292,23,8,29,No,Red-Yellow,No,No,No,Ready for inoculation
No293,24,5,29,No,Red-Yellow,No,No,No,Ready for inoculation
No294,24,7,28,No,Red-Yellow,No,No,No,Ready for inoculation
No295,19,6,28,No,Red-Yellow,No,No,No,Ready for inoculation
No296,19,5,29,No,Red-Yellow,No,No,No,Ready for inoculation
No297,25,6,28,No,Red-Yellow,No,No,No,Ready for inoculation
No298,23,7,28,No,Red-Yellow,No,No,No,Ready for inoculation
No299,19,5,28,No,Red-Yellow,No,No,No,Ready for inoculation
No300,20,7,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No301,22,8,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No302,22,8,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No303,21,7,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No304,19,8,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No305,24,6,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No306,24,6,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No307,24,7,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No308,25,6,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No309,19,7,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No310,25,6,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No311,18,7,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No312,25,6,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No313,20,8,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No314,20,7,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No315,19,7,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No316,23,6,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No317,22,8,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No318,25,8,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No319,24,8,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No320,19,5,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No321,20,5,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No322,24,6,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No323,22,7,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No324,24,5,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No325,22,7,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No326,21,5,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No327,18,7,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No328,21,7,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No329,25,6,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No330,19,7,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No331,20,5,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No332,22,6,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No333,20,7,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No334,20,6,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No335,20,6,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No336,20,5,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No337,23,5,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No338,21,8,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No339,18,5,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No340,18,8,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No341,23,8,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No342,20,5,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No343,24,6,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No344,24,5,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No345,25,8,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No346,21,6,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No347,18,5,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No348,18,5,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No349,19,8,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No350,22,8,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No351,20,8,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No352,20,8,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No353,19,7,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No354,19,7,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No355,25,6,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No356,25,7,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No357,24,6,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No358,24,8,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No359,18,5,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No360,24,6,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No361,20,6,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No362,18,7,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No363,22,5,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No364,18,7,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No365,25,6,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No366,20,7,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No367,24,8,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No368,23,6,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No369,20,7,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No370,21,5,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No371,21,5,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No372,24,8,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
